x	y	z
5.788	-0.475195	0.810947
5.789	-0.474315	0.811525
5.79	-0.473434	0.812102
5.791	-0.472553	0.812679
5.792	-0.471671	0.813254
5.793	-0.470789	0.813829
5.794	-0.469907	0.814404
5.795	-0.469024	0.814978
5.796	-0.468141	0.815551
5.797	-0.467257	0.816123
5.798	-0.466372	0.816695
5.799	-0.465487	0.817266
5.8	-0.464602	0.817836
5.801	-0.463716	0.818406
5.802	-0.46283	0.818975
5.803	-0.461944	0.819544
5.804	-0.461056	0.820112
5.805	-0.460169	0.820679
5.806	-0.459281	0.821245
5.807	-0.458392	0.821811
5.808	-0.457503	0.822376
5.809	-0.456614	0.82294
5.81	-0.455724	0.823504
5.811	-0.454834	0.824067
5.812	-0.453943	0.824629
5.813	-0.453051	0.825191
5.814	-0.45216	0.825752
5.815	-0.451268	0.826312
5.816	-0.450375	0.826872
5.817	-0.449482	0.827431
5.818	-0.448588	0.827989
5.819	-0.447694	0.828546
5.82	-0.4468	0.829103
5.821	-0.445905	0.82966
5.822	-0.44501	0.830215
5.823	-0.444114	0.83077
5.824	-0.443218	0.831324
5.825	-0.442321	0.831877
5.826	-0.441424	0.83243
5.827	-0.440527	0.832982
5.828	-0.439629	0.833534
5.829	-0.43873	0.834084
5.83	-0.437832	0.834634
5.831	-0.436932	0.835183
5.832	-0.436033	0.835732
5.833	-0.435132	0.83628
5.834	-0.434232	0.836827
5.835	-0.433331	0.837374
5.836	-0.432429	0.837919
5.837	-0.431527	0.838464
5.838	-0.430625	0.839009
5.839	-0.429722	0.839552
5.84	-0.428819	0.840095
5.841	-0.427916	0.840638
5.842	-0.427012	0.841179
5.843	-0.426107	0.84172
5.844	-0.425202	0.84226
5.845	-0.424297	0.8428
5.846	-0.423391	0.843339
5.847	-0.422485	0.843877
5.848	-0.421578	0.844414
5.849	-0.420671	0.844951
5.85	-0.419764	0.845486
5.851	-0.418856	0.846022
5.852	-0.417948	0.846556
5.853	-0.417039	0.84709
5.854	-0.41613	0.847623
5.855	-0.415221	0.848155
5.856	-0.414311	0.848687
5.857	-0.4134	0.849218
5.858	-0.41249	0.849748
5.859	-0.411578	0.850277
5.86	-0.410667	0.850806
5.861	-0.409755	0.851334
5.862	-0.408842	0.851862
5.863	-0.40793	0.852388
5.864	-0.407016	0.852914
5.865	-0.406103	0.853439
5.866	-0.405189	0.853964
5.867	-0.404274	0.854487
5.868	-0.40336	0.85501
5.869	-0.402444	0.855532
5.87	-0.401529	0.856054
5.871	-0.400613	0.856575
5.872	-0.399696	0.857095
5.873	-0.398779	0.857614
